index,TITLE,RELEASE_YEAR,SCORE,genre_id,country_id
0,White Christmas,1954,7.5,11,2
1,The Guns of Navarone,1961,7.5,9,2
2,My Fair Lady,1964,7.8,3,2
3,Bonnie and Clyde,1967,7.7,3,2
4,Dirty Harry,1971,7.7,8,2
5,The Exorcist,1973,8.1,12,2
6,Monty Python and the Holy Grail,1975,8.2,4,1
7,Taxi Driver,1976,8.3,7,2
8,Life of Brian,1979,8.0,4,1
9,The Blue Lagoon,1980,5.8,11,2
10,Annie,1982,6.6,3,2
11,Christine,1983,6.7,12,2
12,Once Upon a Time in America,1984,8.3,3,2
13,Stand by Me,1986,8.1,3,2
14,Full Metal Jacket,1987,8.3,3,1
15,When Harry Met Sally...,1989,7.7,11,2
16,Awakenings,1990,7.8,3,2
17,My Girl,1991,6.9,4,2
18,A River Runs Through It,1992,7.2,3,2
19,Menace II Society,1993,7.5,3,2
20,Forrest Gump,1994,8.8,3,2
21,Desperado,1995,7.1,8,2
22,Happy Gilmore,1996,7.0,4,2
23,Neon Genesis Evangelion: The End of Evangelion,1997,8.0,2,9
24,Saving Private Ryan,1998,8.6,3,2
25,"Girl, Interrupted",1999,7.3,3,2
26,The Patriot,2000,7.2,3,12
27,Lagaan: Once Upon a Time in India,2001,8.1,3,3
28,Road to Perdition,2002,7.7,8,2
29,Big Fish,2003,8.0,3,2
30,Swades,2004,8.1,3,3
31,Memoirs of a Geisha,2005,7.3,3,19
32,Rang De Basanti,2006,8.1,4,3
33,Like Stars on Earth,2007,8.3,3,3
34,Ip Man,2008,8.0,3,11
35,3 Idiots,2009,8.4,4,3
36,Inception,2010,8.8,2,1
37,Warrior,2011,8.2,3,2
38,Django Unchained,2012,8.4,5,2
39,Rush,2013,8.1,3,2
40,Queen,2014,8.2,3,3
41,Drishyam,2015,8.2,8,3
42,Dangal,2016,8.4,6,3
43,Bāhubali 2: The Conclusion,2017,8.2,10,3
44,Andhadhun,2018,8.2,8,3
45,Dave Chappelle: Sticks & Stones,2019,8.4,4,2
46,David Attenborough: A Life on Our Planet,2020,9.0,1,1
47,Bo Burnham: Inside,2021,8.7,4,2
48,The Tinder Swindler,2022,7.2,7,1
