index,TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,genre_id,country_id
0,Breaking Bad,2008,9.5,1727694,48,5,3.0,2.0
1,Avatar: The Last Airbender,2005,9.3,297336,24,3,2.0,2.0
2,Our Planet,2019,9.3,41386,50,1,1.0,1.0
3,Kota Factory,2019,9.3,66985,42,2,3.0,3.0
4,The Last Dance,2020,9.1,108321,50,1,1.0,2.0
5,Arcane,2021,9.1,175412,41,1,6.0,2.0
6,Attack on Titan,2013,9.0,325381,24,4,2.0,9.0
7,Hunter x Hunter,2011,9.0,87857,23,3,3.0,9.0
8,DEATH NOTE,2006,9.0,302147,24,1,2.0,9.0
9,Seinfeld,1989,8.9,302700,24,9,4.0,2.0
10,Cowboy Bebop,1998,8.9,112887,25,1,5.0,9.0
11,Heartstopper,2022,8.9,28978,28,1,3.0,1.0
12,When They See Us,2019,8.9,114127,74,1,3.0,2.0
13,Monty Python's Flying Circus,1969,8.8,72895,30,4,4.0,1.0
14,BoJack Horseman,2014,8.8,143584,26,6,3.0,2.0
15,Chappelle's Show,2003,8.8,62140,21,3,4.0,2.0
16,Better Call Saul,2015,8.8,404920,49,6,4.0,2.0
17,Narcos,2015,8.8,404486,52,3,3.0,2.0
18,One Piece,1999,8.8,112586,23,21,6.0,9.0
19,Peaky Blinders,2013,8.8,485506,58,6,3.0,1.0
20,Anne with an E,2017,8.7,51001,46,3,3.0,14.0
21,Dark,2017,8.7,354443,56,3,2.0,12.0
22,House of Cards,2013,8.7,494092,52,6,3.0,2.0
23,Demon Slayer: Kimetsu no Yaiba,2019,8.7,88265,25,3,14.0,9.0
24,Stranger Things,2016,8.7,989090,52,5,2.0,2.0
25,One-Punch Man,2015,8.7,148386,24,2,6.0,9.0
26,The Crown,2016,8.7,190878,56,5,3.0,2.0
27,Arrested Development,2003,8.7,297552,28,5,4.0,2.0
28,Friday Night Lights,2006,8.7,64449,43,5,3.0,2.0
29,Downton Abbey,2010,8.7,197744,58,6,3.0,1.0
30,Code Geass: Lelouch of the Rebellion,2006,8.7,62367,24,3,2.0,9.0
31,Trailer Park Boys,2001,8.6,41791,25,12,4.0,14.0
32,Mindhunter,2017,8.6,261429,53,2,7.0,2.0
33,The Haunting of Hill House,2018,8.6,226817,58,1,3.0,2.0
34,The Queen's Gambit,2020,8.6,406350,56,1,3.0,2.0
35,Cobra Kai,2018,8.6,163858,31,5,6.0,2.0
36,Wentworth,2013,8.6,21747,46,9,3.0,8.0
37,It's Okay to Not Be Okay,2020,8.6,21104,76,1,3.0,13.0
38,Making a Murderer,2015,8.6,93456,62,2,7.0,2.0
39,Shameless,2011,8.6,230243,54,11,3.0,2.0
40,Sacred Games,2018,8.6,85088,50,2,6.0,3.0
41,Formula 1: Drive to Survive,2019,8.6,36661,38,6,1.0,1.0
42,Queer Eye,2018,8.5,18147,47,6,,2.0
43,Community,2009,8.5,252564,23,6,4.0,2.0
44,The Last Kingdom,2015,8.5,126473,55,5,6.0,1.0
45,Schitt's Creek,2015,8.5,112537,22,6,4.0,14.0
46,Neon Genesis Evangelion,1995,8.5,64727,24,1,2.0,9.0
47,Call the Midwife,2012,8.5,25562,56,11,3.0,1.0
48,The IT Crowd,2006,8.5,147409,25,5,4.0,1.0
49,ERASED,2016,8.5,42699,22,1,3.0,9.0
50,Supernatural,2005,8.5,428639,45,15,2.0,2.0
51,Ozark,2017,8.5,278223,60,4,7.0,2.0
52,Delhi Crime,2019,8.5,18732,27,1,3.0,3.0
53,After Life,2019,8.5,124972,28,3,4.0,1.0
54,Hilda,2018,8.5,10162,25,2,2.0,1.0
55,Borgen,2010,8.5,23523,58,4,3.0,34.0
56,Ash vs Evil Dead,2015,8.4,70087,30,3,6.0,2.0
57,Heartland,2007,8.4,15743,44,15,3.0,14.0
58,Unbelievable,2019,8.4,95658,48,1,3.0,2.0
59,The Promised Neverland,2019,8.4,34730,23,2,2.0,9.0
60,Derry Girls,2018,8.4,28718,25,3,4.0,1.0
61,Innocent,2017,8.4,17727,51,1,3.0,6.0
62,Trollhunters: Tales of Arcadia,2016,8.4,16509,22,3,6.0,2.0
63,Outlander,2014,8.4,152435,60,6,2.0,2.0
64,The Legend of Korra,2012,8.4,117464,23,4,6.0,2.0
65,The Dark Crystal: Age of Resistance,2019,8.4,24164,51,1,2.0,1.0
66,Vincenzo,2021,8.4,15134,81,1,6.0,13.0
67,Top Boy,2011,8.4,22420,48,2,3.0,1.0
68,Babylon Berlin,2017,8.4,23256,49,4,7.0,12.0
69,Stargate SG-1,1997,8.4,90196,44,10,2.0,2.0
70,Violet Evergarden,2018,8.4,19940,25,1,3.0,9.0
71,Narcos: Mexico,2018,8.4,80902,56,3,3.0,2.0
72,The Dragon Prince,2018,8.4,21635,27,3,2.0,2.0
73,Maid,2021,8.4,74955,54,1,3.0,2.0
74,Car Masters: Rust to Riches,2018,8.4,10024,39,3,,2.0
75,Naruto,2002,8.4,93980,23,6,2.0,9.0
76,The Originals,2013,8.3,131574,43,5,2.0,2.0
77,Fauda,2015,8.3,25239,40,3,9.0,
78,Sex Education,2019,8.3,251168,52,4,3.0,1.0
79,Kingdom,2019,8.3,43760,48,2,6.0,13.0
80,Money Heist,2017,8.3,450797,50,5,7.0,7.0
81,Young Royals,2021,8.3,26732,45,1,3.0,
82,Atypical,2017,8.3,81643,31,4,4.0,2.0
83,Gurren Lagann,2007,8.3,17024,24,1,2.0,9.0
84,30 Rock,2006,8.3,121514,25,7,4.0,2.0
85,Castlevania,2017,8.3,61114,26,4,2.0,2.0
86,Kim's Convenience,2016,8.3,16970,22,5,4.0,14.0
87,Master of None,2015,8.3,72341,32,3,3.0,2.0
88,Longmire,2012,8.3,34362,53,6,5.0,2.0
89,Call My Agent!,2015,8.3,13331,55,4,4.0,19.0
90,The Get Down,2016,8.2,22304,62,2,3.0,2.0
91,Sense8,2015,8.2,151518,62,2,2.0,2.0
92,One Day at a Time,2017,8.2,15669,29,4,4.0,2.0
93,The Kominsky Method,2018,8.2,38232,26,3,3.0,2.0
94,Itaewon Class,2020,8.2,12030,69,1,3.0,13.0
95,The Good Place,2016,8.2,148562,23,4,2.0,2.0
96,Grace and Frankie,2015,8.2,48435,30,7,4.0,2.0
97,The Witcher,2019,8.2,465949,58,2,2.0,2.0
98,Locked Up,2015,8.2,21388,50,4,3.0,7.0
99,Gilmore Girls,2000,8.2,119054,46,8,4.0,2.0
100,Caliphate,2020,8.2,17735,48,1,9.0,
101,Fate/Zero,2011,8.2,12568,25,2,2.0,9.0
102,The Walking Dead,2010,8.2,945125,46,11,6.0,2.0
103,anohana: The Flower We Saw That Day,2011,8.2,12682,23,1,3.0,9.0
104,The Trials of Gabriel Fernandez,2020,8.1,10982,55,1,7.0,2.0
105,How to Get Away with Murder,2014,8.1,146712,43,6,3.0,2.0
106,Derek,2013,8.1,31976,26,3,3.0,1.0
107,Rascal Does Not Dream of Bunny Girl Senpai,2018,8.1,10400,25,1,14.0,9.0
108,Wild Wild Country,2018,8.1,29298,67,1,7.0,2.0
109,Bodyguard,2018,8.1,114446,60,2,9.0,1.0
110,American Vandal,2017,8.1,29972,33,2,4.0,2.0
111,The End of the F***ing World,2017,8.1,177868,21,2,7.0,1.0
112,Manhunt,2017,8.1,57459,43,2,1.0,2.0
113,Criminal Minds,2005,8.1,189191,44,15,8.0,2.0
114,HAPPY!,2017,8.1,37747,43,2,2.0,2.0
115,Orange Is the New Black,2013,8.1,295591,59,7,3.0,2.0
116,Star Trek: Deep Space Nine,1993,8.1,61145,47,7,2.0,2.0
117,Lovesick,2014,8.1,19259,24,3,4.0,1.0
118,Lucifer,2016,8.1,308291,47,6,2.0,2.0
119,F is for Family,2015,8.0,36050,28,5,4.0,2.0
120,Don't F**k with Cats: Hunting an Internet Killer,2019,8.0,50250,62,1,7.0,2.0
121,GLOW,2017,8.0,44751,34,4,3.0,2.0
122,The Umbrella Academy,2019,8.0,202522,52,3,4.0,2.0
123,Tabula Rasa,2017,8.0,10161,52,1,3.0,15.0
124,Dead to Me,2019,8.0,73110,31,2,3.0,2.0
125,The Mechanism,2018,8.0,36077,47,2,3.0,30.0
126,Squid Game,2021,8.0,416738,54,2,6.0,13.0
127,Toradora!,2008,8.0,14307,30,2,14.0,9.0
128,Comedians in Cars Getting Coffee,2012,8.0,12363,20,11,4.0,2.0
129,Marco Polo,2014,8.0,71229,55,2,6.0,2.0
130,Travelers,2016,8.0,54566,45,3,2.0,14.0
131,The Blacklist,2013,8.0,238138,43,9,3.0,2.0
132,Unorthodox,2020,8.0,74118,54,1,3.0,12.0
133,Inside Bill's Brain: Decoding Bill Gates,2019,7.9,10776,50,1,1.0,2.0
134,On My Block,2018,7.9,15642,29,4,4.0,2.0
135,Medici: Masters of Florence,2016,7.9,18575,54,3,9.0,1.0
136,The Seven Deadly Sins,2014,7.9,30341,24,5,6.0,9.0
137,Queen of the South,2016,7.9,28537,42,5,3.0,2.0
138,KILL la KILL,2013,7.9,13372,25,1,6.0,9.0
139,Bloodline,2015,7.9,50028,57,3,3.0,2.0
140,Into the Badlands,2015,7.9,45628,43,3,6.0,2.0
141,Merlin,2008,7.9,80138,44,5,6.0,1.0
142,InuYasha,2000,7.9,15823,25,9,6.0,9.0
143,Altered Carbon,2018,7.9,162018,52,2,2.0,2.0
144,The OA,2016,7.9,100911,55,2,2.0,2.0
145,Resurrection: Ertugrul,2014,7.9,35515,57,5,9.0,6.0
146,The Borgias,2011,7.9,50556,51,3,3.0,14.0
147,Lilyhammer,2012,7.9,29196,45,3,7.0,16.0
148,Boys Over Flowers,2009,7.9,11579,64,1,4.0,13.0
149,I Think You Should Leave with Tim Robinson,2019,7.9,11411,16,3,4.0,2.0
150,Suburra: Blood on Rome,2017,7.9,14346,48,3,7.0,25.0
151,The Sinner,2017,7.9,117055,45,4,7.0,2.0
152,The Spy,2019,7.9,40535,53,1,3.0,19.0
153,Santa Clarita Diet,2017,7.9,64467,29,3,4.0,2.0
154,How to Sell Drugs Online (Fast),2019,7.9,30734,32,3,3.0,12.0
155,Rise of Empires: Ottoman,2020,7.9,22045,45,2,1.0,6.0
156,Big Mouth,2017,7.9,74660,27,6,14.0,2.0
157,Versailles,2015,7.9,16273,54,3,3.0,14.0
158,She-Ra and the Princesses of Power,2018,7.8,14935,24,5,2.0,2.0
159,A Series of Unfortunate Events,2017,7.8,59239,47,3,6.0,2.0
160,Gotham,2014,7.8,226081,43,5,2.0,2.0
161,Workin' Moms,2017,7.8,14892,22,6,4.0,14.0
162,Russian Doll,2019,7.8,88945,28,2,3.0,2.0
163,Sweet Tooth,2021,7.8,49182,45,2,2.0,2.0
164,Imposters,2017,7.8,13238,43,2,3.0,2.0
165,iZombie,2015,7.8,66488,42,5,2.0,2.0
166,Conversations with a Killer: The Ted Bundy Tapes,2019,7.8,27439,59,1,7.0,2.0
167,Never Have I Ever,2020,7.8,45346,28,4,3.0,2.0
168,My Name,2021,7.8,18446,50,1,8.0,13.0
169,Happy Endings,2011,7.8,37778,21,3,4.0,2.0
170,Crazy Ex-Girlfriend,2015,7.8,19738,42,4,4.0,2.0
171,El Chapo,2017,7.8,17992,44,3,3.0,2.0
172,NCIS,2003,7.8,141049,44,19,6.0,2.0
173,Jane the Virgin,2014,7.8,46286,42,5,3.0,2.0
174,Undercover,2019,7.8,16773,49,3,3.0,15.0
175,DOTA: Dragon's Blood,2021,7.8,17429,26,2,2.0,2.0
176,The Innocent,2021,7.8,29019,58,1,7.0,7.0
177,The Staircase,2004,7.8,21531,49,2,7.0,19.0
178,Giri/Haji,2019,7.8,13570,58,1,8.0,1.0
179,Angel Beats!,2010,7.7,13848,26,1,2.0,9.0
180,Love,2016,7.7,41362,32,3,3.0,2.0
181,In the Dark,2019,7.7,10927,41,4,4.0,2.0
182,Midnight Mass,2021,7.7,102321,64,1,6.0,2.0
183,The Vampire Diaries,2009,7.7,310776,42,8,2.0,2.0
184,Alias Grace,2017,7.7,31577,44,1,3.0,14.0
185,You,2018,7.7,225949,47,3,8.0,2.0
186,Norsemen,2016,7.7,18040,30,3,4.0,16.0
187,Good Girls,2018,7.7,49867,42,4,4.0,2.0
188,Seven Seconds,2018,7.7,15323,62,1,7.0,2.0
189,The Chestnut Man,2021,7.7,41253,55,1,7.0,34.0
190,Crashing,2016,7.7,18546,30,1,4.0,1.0
191,Maniac,2018,7.7,74877,39,1,3.0,2.0
192,New Girl,2011,7.7,216209,21,7,4.0,2.0
193,Miraculous: Tales of Ladybug & Cat Noir,2015,7.7,10102,22,4,11.0,19.0
194,Home for Christmas,2019,7.7,13670,29,2,4.0,16.0
195,Inside Job,2021,7.6,15137,28,1,4.0,2.0
196,The Serpent,2021,7.6,41782,57,1,3.0,1.0
197,Alice in Borderland,2020,7.6,47651,47,2,6.0,9.0
198,Spinning Out,2020,7.6,13692,50,1,3.0,2.0
199,Messiah,2020,7.6,42018,45,1,3.0,2.0
200,Teenage Bounty Hunters,2020,7.6,10821,49,1,6.0,2.0
201,Shadow and Bone,2021,7.6,77782,52,1,2.0,2.0
202,The Devil Next Door,2019,7.6,13084,46,1,1.0,2.0
203,My Little Pony: Friendship Is Magic,2010,7.6,20708,22,9,2.0,14.0
204,The Magicians,2015,7.6,49557,44,5,3.0,2.0
205,Bordertown,2016,7.6,10371,59,3,3.0,
206,Unbreakable Kimmy Schmidt,2015,7.6,70242,30,4,4.0,2.0
207,Chicago Med,2015,7.6,24142,41,8,3.0,2.0
208,The 100,2014,7.6,242221,42,7,3.0,2.0
